RegionName,StateName,LatestZHVI,2023,AffordabilityRatio,Metro
"Pittsburgh, PA",PA,225317.5616766602,70559.0,3.1933213576816595,"Pittsburgh, PA, PA"
"Toledo, OH",OH,196903.74139267375,58180.0,3.384388817337122,"Toledo, OH, OH"
"Jackson, MS",MS,204224.4677731562,58104.0,3.5148090970183845,"Jackson, MS, MS"
"St. Louis, MO",MO,266378.4244362706,75577.0,3.5245964306107758,"St. Louis, MO, MO"
"Tulsa, OK",OK,245894.24583063615,69022.0,3.562548837046683,"Tulsa, OK, OK"
"Wichita, KS",KS,216128.65715771887,60375.0,3.5797707189684287,"Wichita, KS, KS"
"Cleveland, OH",OH,242875.2163030349,67451.0,3.600765241479517,"Cleveland, OH, OH"
"Akron, OH",OH,231526.47549466192,62904.0,3.6806320026494648,"Akron, OH, OH"
"Oklahoma City, OK",OK,240734.851966563,64468.0,3.7341759007036512,"Oklahoma City, OK, OK"
"Little Rock, AR",AR,224528.29349071835,59463.0,3.775932823616675,"Little Rock, AR, AR"
